TITLE: Physical variables - lake profile additional logger system from Feresjön, southern Sweden
SITES STATION: Asa Research Station
TIME PERIOD: 2017-08-17 - 2017-11-15
TIME RESOLUTION: 30 Minutes
TIME ZONE: UTC +1
SAMPLING POINT: Floating platform
LATITUDE: 57.17743
LONGITUDE: 14.80762
ALTITUDE: 194.91 m a.s.l.

FILE RETRIEVED FROM: https://data.fieldsites.se 
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Deployed O2 (Dissolved Oxygen) sensors @-1 and @-10m. O2 calculated based on Garcia and Gordon (1992): https://doi.org/10.4319/lo.1992.37.6.1307. Due to an error in the original calculation of O2_-10m, all values have been replaced with NaNs. O2_-10m data from any previously downloaded versions of this dataset should not be used.

PARAMETERS & UNITS: O2 (mg L-1), O2SAT (%), TW (°C)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD hh:mm] UTC+1
O2_-1m - Dissolved Oxygen (mg L-1). Aanderaa optode @-1m. Calculated based on [O2SAT_-1m] and [TW_O2_-1m]. 30 min average from 2 min readings.
O2SAT_-1m - Oxygen saturation (%) Aanderaa optode @-1m. 30 min average from 2 min readings.
TW_O2_-1m - Water temperature (°C). Aanderaa optode @-1m. 30 min average from 2 min readings.
O2_-10m - Dissolved Oxygen (mg L-1). Aanderaa optode @-10m. Calculated based on [O2SAT_-10m] and [TW_O2_-10m]. 30 min average from 2 min readings.
O2SAT_-10m - Oxygen saturation (%) Aanderaa optode @-10m. 30 min average from 2 min readings.
TW_O2_-10m - Water temperature (°C). Aanderaa optode @-10m. 30 min average from 2 min readings.
####
TIMESTAMP,TW_O2_-1m,O2SAT_-1m,O2_-1m,TW_O2_-10m,O2SAT_-10m,O2_-10m
2017-08-17 00:00,18.6921,90.4566,8.3252,7.9453,0.0521,NaN
2017-08-17 00:30,18.6483,90.48,8.3344,7.9179,0.0518,NaN
2017-08-17 01:00,18.6131,90.2383,8.3169,7.9569,0.0533,NaN
2017-08-17 01:30,18.576,90.045,8.3054,7.9555,0.0535,NaN
2017-08-17 02:00,18.5391,89.7383,8.283,7.9386,0.052,NaN
2017-08-17 02:30,18.5105,89.645,8.28,7.9543,0.053,NaN
2017-08-17 03:00,18.4746,89.4583,8.27,7.9443,0.0527,NaN
2017-08-17 03:30,18.4406,89.3333,8.2642,7.9241,0.0528,NaN
2017-08-17 04:00,18.4326,89.1383,8.247,7.8961,0.051,NaN
2017-08-17 04:30,18.4036,88.9283,8.2333,7.8971,0.0512,NaN
2017-08-17 05:00,18.3835,88.7933,8.2234,7.9008,0.0504,NaN
2017-08-17 05:30,18.3576,88.69,8.2173,7.9161,0.0519,NaN
2017-08-17 06:00,18.3465,88.6066,8.213,7.9435,0.0547,NaN
2017-08-17 06:30,18.334,88.5883,8.2143,7.9708,0.0632,NaN
2017-08-17 07:00,18.3341,88.6,8.2163,7.9655,0.1007,NaN
2017-08-17 07:30,18.3461,88.6266,8.2155,7.9723,0.1344,NaN
2017-08-17 08:00,18.351,88.7983,8.2309,7.9446,0.1394,NaN
2017-08-17 08:30,18.3847,89.0158,8.2445,7.9236,0.1373,NaN
2017-08-17 09:00,18.4255,89.5691,8.2866,7.8825,0.1122,NaN
2017-08-17 09:30,18.468,89.635,8.2835,7.8965,0.1155,NaN
2017-08-17 10:00,18.4946,89.9283,8.3056,7.91,0.1806,NaN
2017-08-17 10:30,18.5295,90.24,8.3274,7.9019,0.1694,NaN
2017-08-17 11:00,18.5478,90.4066,8.3368,7.9141,0.1699,NaN
2017-08-17 11:30,18.5618,90.6066,8.3518,7.8899,0.1698,NaN
2017-08-17 12:00,18.669,90.8016,8.3501,7.8971,0.1803,NaN
2017-08-17 12:30,18.8735,91.1833,8.3487,7.8751,0.2057,NaN
2017-08-17 13:00,19.017,91.64,8.364,7.8793,0.2073,NaN
2017-08-17 13:30,19.0211,91.765,8.3718,7.9092,0.2039,NaN
2017-08-17 14:00,19.0125,91.8483,8.3797,7.8929,0.204,NaN
2017-08-17 14:30,18.9731,91.895,8.388,7.849,0.2058,NaN
2017-08-17 15:00,18.954,91.9783,8.3952,7.8367,0.2055,NaN
2017-08-17 15:30,18.941,92.0933,8.4051,7.9089,0.2072,NaN
2017-08-17 16:00,18.9098,92.0816,8.4073,7.939,0.203,NaN
2017-08-17 16:30,19.0895,92.3016,8.3954,7.9355,0.2029,NaN
2017-08-17 17:00,19.2475,92.7633,8.4091,7.853,0.1942,NaN
2017-08-17 17:30,19.2885,92.7983,8.4014,7.8258,0.1383,NaN
2017-08-17 18:00,19.3331,92.8916,8.4011,7.8758,0.1605,NaN
2017-08-17 18:30,19.3328,92.89,8.3992,7.9667,0.1009,NaN
2017-08-17 19:00,19.2986,92.8333,8.3981,7.941,0.0643,NaN
2017-08-17 19:30,19.3006,92.85,8.3986,7.946,0.0495,NaN
2017-08-17 20:00,19.293,92.825,8.3968,7.9342,0.0446,NaN
2017-08-17 20:30,19.2365,92.675,8.391,7.9194,0.0444,NaN
2017-08-17 21:00,19.1976,92.5466,8.3834,7.9452,0.0449,NaN
2017-08-17 21:30,19.1728,92.465,8.3789,7.9466,0.0413,NaN
2017-08-17 22:00,19.1558,92.4083,8.3747,7.9408,0.0432,NaN
2017-08-17 22:30,19.1286,92.2966,8.3666,7.9724,0.0424,NaN
2017-08-17 23:00,19.0563,92.3333,8.3776,7.9662,0.0417,NaN
2017-08-17 23:30,19.1078,92.2516,8.3601,8.0145,0.0408,NaN
2017-08-18 00:00,19.1031,92.215,8.3564,7.9902,0.0421,NaN
2017-08-18 00:30,18.9771,92.1633,8.3699,7.953,0.0424,NaN
2017-08-18 01:00,18.9301,92.0083,8.3611,7.9641,0.0406,NaN
2017-08-18 01:30,18.8978,91.7066,8.3348,7.9141,0.0416,NaN
2017-08-18 02:00,18.9105,91.62,8.3218,7.8657,0.043,NaN
2017-08-18 02:30,18.9063,91.5383,8.3126,7.8408,0.0414,NaN
2017-08-18 03:00,18.8838,91.3083,8.2931,7.8221,0.044,NaN
2017-08-18 03:30,18.8655,91.125,8.2769,7.8358,0.0446,NaN
2017-08-18 04:00,18.8383,90.9916,8.268,7.8414,0.0436,NaN
2017-08-18 04:30,18.8068,90.9983,8.2726,7.8661,0.0432,NaN
2017-08-18 05:00,18.7863,91.0083,8.276,7.9033,0.0438,NaN
2017-08-18 05:30,18.772,90.96,8.2746,7.9359,0.0418,NaN
2017-08-18 06:00,18.785,91.02,8.2786,8.0119,0.0409,NaN
2017-08-18 06:30,18.8551,91.0816,8.273,8.0925,0.0418,NaN
2017-08-18 07:00,18.8833,91.2083,8.2801,8.0853,0.0453,NaN
2017-08-18 07:30,18.894,91.3466,8.2917,7.9918,0.0465,NaN
2017-08-18 08:00,18.9063,91.4466,8.2993,7.983,0.0459,NaN
2017-08-18 08:30,18.903,91.4733,8.302,7.9368,0.0484,NaN
2017-08-18 09:00,18.9205,91.575,8.3096,7.8696,0.0461,NaN
2017-08-18 09:30,18.958,91.8166,8.3255,7.9277,0.0579,NaN
2017-08-18 10:00,18.9756,92.0316,8.3415,7.9263,0.0833,NaN
2017-08-18 10:30,18.9973,92.1883,8.3535,7.9218,0.0617,NaN
2017-08-18 11:00,19.0138,92.1916,8.3526,7.8748,0.0486,NaN
